#secs; exec/s; paths; p_pend; favs; crash; kasan; tmout; lvls; cycles; f_pend; exec; edges
000000;0;0;0;0;0;0;0;0;0;0;0;0
000018;0;0;0;0;0;0;0;0;0;0;0;0
000024;0;2;2;2;0;0;0;0;0;2;4;21918
000030;0;4;4;3;0;0;0;0;0;3;8;21920
000035;0;6;6;4;0;0;0;0;0;4;12;21921
000041;0;8;8;4;0;0;0;0;0;4;16;21921
000047;0;10;10;5;0;0;0;0;0;5;20;21941
000052;0;12;12;5;0;0;0;0;0;5;24;21941
000058;0;14;14;5;0;0;0;0;0;5;28;21941
000064;0;16;16;6;0;0;0;0;0;6;32;21942
000069;0;18;18;6;0;0;0;0;0;6;36;21942
000075;0;20;20;6;0;0;0;0;0;6;40;21942
000080;0;22;22;6;0;0;0;0;0;6;44;21942
000086;0;24;24;6;0;0;0;0;0;6;48;21942
000092;0;26;26;7;0;0;0;0;0;7;52;21943
000097;0;28;28;7;0;0;0;0;0;7;56;21943
000103;0;30;30;7;0;0;0;0;0;7;60;21943
000109;0;32;32;7;0;0;0;0;0;7;64;21943
000114;0;34;34;8;0;0;0;0;0;8;68;21944
000121;0;36;36;8;0;0;0;0;0;8;73;21944
000127;0;37;37;8;0;0;0;0;0;8;77;21944
000133;0;38;38;8;0;0;0;0;0;8;81;21944
000138;0;40;40;8;0;0;0;0;0;8;85;21944
000144;0;41;41;8;0;0;0;0;0;8;89;21944
000150;0;42;42;8;0;0;0;0;0;8;93;21944
000155;0;44;44;8;0;0;0;0;0;8;97;21944
000161;0;45;45;8;0;0;0;0;0;8;101;21944
000167;0;46;46;9;0;0;0;0;0;9;105;21949
000172;0;48;48;9;0;0;0;0;0;9;109;21949
000179;0;49;49;9;0;0;0;0;0;9;114;21949
000185;0;51;51;9;0;0;0;0;0;9;118;21949
000191;0;53;53;9;0;0;0;0;0;9;122;21949
000198;0;54;54;9;0;0;0;0;0;9;127;21949
000203;0;56;56;9;0;0;0;0;0;9;131;21949
000209;0;58;58;9;0;0;0;0;0;9;135;21949
000215;0;59;59;9;0;0;0;0;0;9;139;21949
000220;0;60;60;9;0;0;0;0;0;9;143;21949
000227;0;61;61;9;0;0;0;0;0;9;148;21949
000233;0;61;61;9;0;0;0;0;0;9;152;21949
000239;0;63;63;9;0;0;0;0;0;9;156;21949
000244;0;63;63;9;0;0;0;0;0;9;160;21949
000250;0;63;63;9;0;0;0;0;0;9;164;21949
000256;0;64;64;9;0;0;0;0;0;9;168;21949
000261;0;66;66;9;0;0;0;0;0;9;172;21949
000267;0;67;67;9;0;0;0;0;0;9;176;21949
000273;0;67;67;9;0;0;0;0;0;9;180;21949
000278;0;69;69;9;0;0;0;0;0;9;184;21949
000284;0;71;71;9;0;0;0;0;0;9;188;21949
000291;0;72;72;9;0;0;0;0;0;9;193;21949
000298;0;73;73;9;0;0;0;0;0;9;198;21949
000304;0;74;74;9;0;0;0;0;0;9;202;21949
000309;0;75;75;9;0;0;0;0;0;9;206;21949
000315;0;77;77;9;0;0;0;0;0;9;210;21949
000321;0;78;78;9;0;0;0;0;0;9;214;21949
000327;0;79;79;9;0;0;0;0;0;9;218;21949
000332;0;80;80;9;0;0;0;0;0;9;222;21949
000339;0;81;81;9;0;0;0;0;0;9;227;21949
000345;0;82;82;9;0;0;0;0;0;9;231;21949
000351;0;83;83;9;0;0;0;0;0;9;235;21949
000356;0;85;85;9;0;0;0;0;0;9;239;21949
000362;0;86;86;9;0;0;0;0;0;9;243;21949
000368;0;88;88;9;0;0;0;0;0;9;247;21949
000373;0;88;88;9;0;0;0;0;0;9;251;21949
000380;0;88;88;9;0;0;0;0;0;9;256;21949
000387;0;89;89;9;0;0;0;0;0;9;261;21949
000393;0;91;91;9;0;0;0;0;0;9;265;21949
000399;0;91;91;9;0;0;0;0;0;9;269;21949
000406;0;93;93;9;0;0;0;0;0;9;274;21949
000413;0;95;95;10;0;0;0;0;0;10;279;21950
000418;0;96;96;10;0;0;0;0;0;10;283;21950
000424;0;96;96;10;0;0;0;0;0;10;287;21950
000430;0;97;97;10;0;0;0;0;0;10;291;21950
000435;0;98;98;10;0;0;0;0;0;10;295;21950
000442;0;98;98;10;0;0;0;0;0;10;300;21950
000448;0;100;100;10;0;0;0;0;0;10;304;21950
000455;0;102;102;10;0;0;0;0;0;10;309;21950
000461;0;102;102;10;0;0;0;0;0;10;313;21950
000466;0;103;103;10;0;0;0;0;0;10;317;21950
000472;0;104;104;10;0;0;0;0;0;10;321;21950
000478;0;105;105;10;0;0;0;0;0;10;325;21950
000483;0;106;106;10;0;0;0;0;0;10;329;21950
000489;0;107;107;10;0;0;0;0;0;10;333;21950
000495;0;107;107;10;0;0;0;0;0;10;337;21950
000500;0;107;107;10;0;0;0;0;0;10;341;21950
000506;0;107;107;10;0;0;0;0;0;10;345;21950
000511;0;108;108;10;0;0;0;0;0;10;349;21950
000518;0;109;109;10;0;0;0;0;0;10;354;21950
000525;0;110;110;10;0;0;0;0;0;10;359;21950
000533;0;111;111;10;0;0;0;0;0;10;364;21950
000540;0;112;112;10;0;0;0;0;0;10;369;21950
000545;0;113;113;10;0;0;0;0;0;10;373;21950
000551;0;114;114;10;0;0;0;0;0;10;377;21950
000557;0;116;116;10;0;0;0;0;0;10;381;21950
000564;0;117;117;10;0;0;0;0;0;10;386;21950
000569;0;117;117;10;0;0;0;0;0;10;390;21950
000575;0;118;118;10;0;0;0;0;0;10;394;21950
000581;0;119;119;10;0;0;0;0;0;10;398;21950
000588;0;119;119;10;0;0;0;0;0;10;403;21950
000593;0;119;119;10;0;0;0;0;0;10;407;21950
000599;0;120;120;10;0;0;0;0;0;10;411;21950
000604;0;120;120;10;0;0;0;0;0;10;415;21950
000610;0;120;120;10;0;0;0;0;0;10;419;21950
000616;0;121;121;10;0;0;0;0;0;10;423;21950
000621;0;121;121;10;0;0;0;0;0;10;427;21950
000628;0;121;121;10;0;0;0;0;0;10;432;21950
000635;0;121;121;10;0;0;0;0;0;10;437;21950
000643;0;122;122;10;0;0;0;0;0;10;442;21950
000648;0;122;122;10;0;0;0;0;0;10;446;21950
000656;0;122;122;10;0;0;0;0;0;10;451;21950
000664;0;124;124;10;0;0;0;1;0;10;457;21950
000673;0;124;124;10;0;0;0;1;0;10;463;21950
000681;0;125;125;10;0;0;0;1;0;10;470;21950
000686;0;125;125;10;0;0;0;1;0;10;473;21950
000695;0;127;127;10;0;0;0;1;0;10;482;21950
000701;0;128;128;10;0;0;0;1;0;10;486;21950
000711;0;129;129;10;0;0;0;1;0;10;493;21950
000719;0;130;130;10;0;0;0;1;0;10;499;21950
000726;0;131;131;10;0;0;0;1;0;10;504;21950
000733;0;132;132;10;0;0;0;1;0;10;509;21950
000741;2;132;132;10;0;0;0;1;0;10;525;21950
000750;0;134;134;10;0;0;0;1;0;10;532;21950
000755;0;134;134;10;0;0;0;1;0;10;537;21950
000765;0;135;135;10;0;0;0;1;0;10;544;21950
000770;0;135;135;10;0;0;0;1;0;10;548;21950
000778;0;137;137;10;0;0;0;1;0;10;554;21950
000787;0;137;137;10;0;0;0;1;0;10;560;21950
000792;0;138;138;10;0;0;0;1;0;10;564;21950
000798;0;139;139;10;0;0;0;1;1;10;568;21950
000803;0;139;139;10;0;0;0;1;1;10;571;21950
000808;0;139;139;10;0;0;0;1;1;10;575;21950
000813;0;139;139;10;0;0;0;1;1;10;579;21950
000822;1;139;139;10;0;0;0;1;1;10;590;21950
000831;0;140;140;10;0;0;0;1;1;10;596;21950
000839;0;140;140;10;0;0;0;1;1;10;602;21950
000848;0;141;141;10;0;0;0;1;1;10;608;21950
000854;0;141;141;10;0;0;0;1;1;10;612;21950
000864;0;142;142;10;0;0;0;1;1;10;620;21950
000871;0;144;144;10;0;0;0;1;1;10;626;21950
000876;0;144;144;10;0;0;0;1;1;10;629;21950
000883;1;146;146;10;0;0;0;1;1;10;636;21950
000892;0;147;147;10;0;0;0;1;1;10;642;21950
000897;0;147;147;10;0;0;0;1;1;10;646;21950
000905;0;148;148;10;0;0;0;1;1;10;651;21950
000910;0;148;148;10;0;0;0;1;1;10;655;21950
000915;0;148;148;10;0;0;0;1;1;10;658;21950
